class,precision,recall,f1-score,accuracy,support,samples_per_class,fold,model
M2,0.6319672131147541,0.5291695264241593,0.576017930519238,0.9605162457385376,1457.0,50,2,MAPS
Mast,0.6645091693635383,0.9263157894736842,0.7738693467336683,0.9874765184721352,665.0,50,2,MAPS
Monocyte,0.4704418170504045,0.5470332850940666,0.5058548009367682,0.948618938287066,1382.0,50,2,MAPS
NK,0.6827541827541828,0.7227520435967303,0.7021839841164791,0.9686912961803381,1468.0,50,2,MAPS
Neutrophil,0.538961038961039,0.7238372093023255,0.6178660049627791,0.9785709316078759,688.0,50,2,MAPS
Other,0.4618834080717489,0.7061704211557297,0.5584817970565453,0.9603423084950949,1021.0,50,2,MAPS
Treg,0.34779750164365547,0.7883755588673621,0.4826642335766423,0.960551033187226,671.0,50,2,MAPS
Tumor,0.8638083228247163,0.8292978208232445,0.8462013588634959,0.9826758505531205,1652.0,50,2,MAPS
overall,0.5957540033393095,0.6748975241475419,0.614554740020703,0.6126417588534057,,50,2,MAPS
B,0.7249870399170555,0.8632716049382716,0.788109326570865,0.9476796771724761,3240.0,500,5,MAPS
CD4 T,0.8721166892808684,0.685965848452508,0.7679211469534051,0.891880609476101,7496.0,500,5,MAPS
CD8 T,0.908498759305211,0.8335230506545248,0.869397447313743,0.9693870451541085,3514.0,500,5,MAPS
DC,0.7426160337552743,0.6393357550596782,0.6871165644171779,0.9609684825714883,1927.0,500,5,MAPS
Endothelial,0.849438202247191,0.8684663986214819,0.8588469184890656,0.9827106380018089,1741.0,500,5,MAPS
Epithelial,0.6492890995260664,0.9133333333333333,0.7590027700831027,0.990920475892298,450.0,500,5,MAPS
Lymphatic,0.8597640891218873,0.870026525198939,0.8648648648648649,0.9928685730188548,754.0,500,5,MAPS
M1,0.4813397129186603,0.8112903225806452,0.6042042042042042,0.9770750713142698,620.0,500,5,MAPS
M2,0.6967663209273948,0.7838023335621139,0.7377260981912145,0.9717525916649273,1457.0,500,5,MAPS
Mast,0.8177150192554558,0.9578947368421052,0.8822714681440443,0.9940861337229527,665.0,500,5,MAPS
Monocyte,0.6655562958027982,0.7228654124457308,0.6930280957336109,0.9692131079106658,1382.0,500,5,MAPS
NK,0.8496932515337423,0.7547683923705722,0.7994227994227996,0.9806581785291867,1468.0,500,5,MAPS
Neutrophil,0.7097989949748744,0.8212209302325582,0.7614555256064691,0.9876852431642663,688.0,500,5,MAPS
Other,0.685374149659864,0.7894221351616063,0.7337278106508874,0.9796493425172198,1021.0,500,5,MAPS
Treg,0.4806131650135257,0.7943368107302533,0.598876404494382,0.9751617616364016,671.0,500,5,MAPS
Tumor,0.9053030303030303,0.8680387409200968,0.8862793572311496,0.9871982188826272,1652.0,500,5,MAPS
overall,0.7436793658464312,0.8110976456940262,0.7682656751481867,0.7794475753148264,,500,5,MAPS
B,0.5972259269138437,0.6910493827160494,0.6407211332093289,0.9126487163431434,3240.0,50,3,MAPS
CD4 T,0.6420382165605095,0.33617929562433296,0.44129235618597323,0.7780212899185974,7496.0,50,3,MAPS
CD8 T,0.5222055888223552,0.5956175298804781,0.5565009306035629,0.88394907117512,3514.0,50,3,MAPS
DC,0.4903536977491961,0.31655422937208094,0.3847366761274046,0.9321296876087107,1927.0,50,3,MAPS
Endothelial,0.7466139954853274,0.7599080987937966,0.753202391118702,0.969839281987059,1741.0,50,3,MAPS
Epithelial,0.3833943833943834,0.6977777777777778,0.49487785657998434,0.977701245390663,450.0,50,3,MAPS
Lymphatic,0.6919191919191919,0.726790450928382,0.7089262613195343,0.9843456480901691,754.0,50,3,MAPS
M1,0.28368314150304674,0.6758064516129032,0.3996185026227945,0.9562026021011619,620.0,50,3,MAPS
M2,0.5661721068249258,0.6547700754975978,0.6072565245066837,0.9570722883183748,1457.0,50,3,MAPS
Mast,0.7707774798927614,0.8646616541353384,0.8150248051027641,0.990920475892298,665.0,50,3,MAPS
Monocyte,0.4543761638733706,0.35311143270622286,0.3973941368078176,0.9485145759410005,1382.0,50,3,MAPS
