ligand,receptor,median_responder,median_nonresponder,difference
KITLG,KIT,20.588235294117645,18.194444444444443,2.393790849673202
HGF,MET,18.237955490339935,13.77104377104377,4.466911719296165
ANXA1,FPR1,30.270184807813926,20.59800664451827,9.672178163295655
GAS6,AXL,21.559603527416257,21.776315789473685,-0.216712262
GAS6,MERTK,20.469744581419707,18.581463182332282,1.8882813990874254
LGALS9,PTPRC,44.57176532,48.23529411764706,-3.663528795
RARRES2,CMKLR1,25.454545454545453,22,3.4545454545454533
LGALS9,HAVCR2,18.623063683304647,20.76502732240437,-2.141963639
LGALS9,CD44,44.67374448288203,40.27777777777778,4.395966705
COL1A1,ITGA1_ITGB1,71.70187282229965,73.97260273972603,-2.270729917
COL1A2,ITGA1_ITGB1,76.47058823529412,74.55621301775149,1.9143752175426272
COL4A1,ITGA1_ITGB1,76.05372352041931,83.58208955,-7.528366032
COL4A2,ITGA1_ITGB1,76.9045045,82.30088495575221,-5.396380451
COL4A5,ITGA1_ITGB1,73.54741971760589,70.49180327868852,3.055616438917369
COL6A1,ITGA1_ITGB1,74.35897435897436,79.13669064748201,-4.777716289
COL6A2,ITGA1_ITGB1,72.95683311862705,75.37796976,-2.421136644
COL6A3,ITGA1_ITGB1,73.20846356216131,78.08229694457239,-4.873833382
COL9A1,ITGA1_ITGB1,78.72749653792891,63.637102014294996,15.090394523633918
COL9A2,ITGA1_ITGB1,69.50354609929079,73.98981466021039,-4.486268561
COL9A3,ITGA1_ITGB1,74.45309603262885,67.21311475409836,7.239981278530493
COL1A1,ITGA2_ITGB1,62.65115034777956,65.94948550046773,-3.298335153
COL1A2,ITGA2_ITGB1,65.75342465753424,68.18181818181817,-2.428393524
COL4A1,ITGA2_ITGB1,69.08470290771174,73.94957983193278,-4.864876924
COL4A2,ITGA2_ITGB1,68.34076365511176,71.71052631578947,-3.369762661
COL4A5,ITGA2_ITGB1,61.97162498171713,61.47540983606557,0.4962151456515542
COL6A1,ITGA2_ITGB1,66.39427987742594,70.30716723549489,-3.912887358
COL6A2,ITGA2_ITGB1,64.39114391143912,68.10344827586206,-3.712304364
COL6A3,ITGA2_ITGB1,62.62431036300383,70.64653302091469,-8.022222658
COL9A1,ITGA2_ITGB1,60.963020030816644,57.79767041,3.1653496252946454
COL9A2,ITGA2_ITGB1,60.79545454545454,65.48331338917697,-4.687858844
COL9A3,ITGA2_ITGB1,63.916666666666664,57.57575757575758,6.340909090909086
FN1,ITGA3_ITGB1,62.65625,69.07216495,-6.415914948
